Section nominale (mm²);Résistance linéique (Ohm/km);Intensité de courant admissible Ete (A);Intensité de courant admissible Hiver (A);Facteur cout
228;0.147;519.5;648.6;1.000
248;0.135;544.0;677.1;1.0877
265;0.127;564.6;701.0;1.1623
288;0.116;592.1;733.1;1.2632
298;0.112;604.0;747.0;1.307
313;0.107;621.6;767.6;1.3728
318;0.105;627.4;774.5;1.3947
366;0.0913;682.5;839.4;1.6053
446;0.0752;770.5;944.0;1.9561
475;0.0705;801.3;980.9;2.0833
570;0.0588;897.5;1097.7;2.5
621;0.054;946.4;1157.8;2.7237
709;0.0474;1026.2;1257.5;3.1096
851;0.0395;1142.9;1407.3;3.7325
926;0.0636;1198.4;1480.9;4.0614
